 interaktives Kino	interactive Cinema	R_Sicht=art	R_GD_View=27 filmic view	R_JJJJ=(1991)	R_Sparte=FVI	
lightsensor	Waermesensor	R_Sicht=interface	R_GD_View=14 view of sensor technology	R_JJJJ=(1989)		
lightstick	lightpen	R_Sicht=interface	R_GD_View=05 interface view		R_Sparte=I	
line	07 transport view	R_Sicht=comtech	R_GD_View=07 transport view			
line	Linie	R_Sicht=comtech	R_GD_View=07 transport view			
line	offline	R_Sicht=comtech	R_GD_View=07 transport view			
line	online	R_Sicht=comtech	R_GD_View=07 transport view			
line	wire	R_Sicht=comtech	R_GD_View=07 transport view			
Linearität	Krise der Linearitaet	R_Sicht=theory				
Linearität	linearity	R_Sicht=theory				
Lingua Franca (language of intercourse)	Language	R_Sicht=culture		R_JJJJ=2003		
Linie	line	R_Sicht=comtech				
Link	15 content view	R_Sicht=informatics	R_GD_View=15 content view			
Link	Gateway	R_Sicht=informatics			R_Sparte=N	R_Quelle=PF
Link	Hyper...	R_Sicht=informatics				
Link	hypertext	R_Sicht=informatics				
Link	Hypervideo	R_Sicht=informatics			R_Sparte=V	
Link	link_	R_Sicht=informatics				
Link	linkhubs	R_Sicht=informatics				
Link	URL	R_Sicht=informatics			R_Sparte=N	
link_	city-links			R_JJJJ=(1989)		
link_	Hyperlink			R_JJJJ=(1995,96,97,98,99,2000,01,03)		
link_	Link					
linkhubs	Link	R_Sicht=informatics				
linkhubs	weblog	R_Sicht=informatics			R_Sparte=N	
Linux	03 view of PC/computer/video technology	R_Sicht=software				
Linux	GNU project	R_Sicht=software				
Linux	LAMP	R_Sicht=software				
Linux	operating system	R_Sicht=software				
Linux	Unix	R_Sicht=software				
Linux	Windows	R_Sicht=software				
liquid architecture	Fluidales Design	R_Sicht=theory				
liquid architecture	fluides Environment	R_Sicht=theory		R_JJJJ=(2001)		
liquid architecture	liquid space	R_Sicht=theory				
liquid architecture	transArchitecture	R_Sicht=theory				
liquid space	liquid architecture	R_Sicht=theory				
liquid space	space	R_Sicht=theory		R_JJJJ=1999		
Lisa	Apple	R_Sicht=software				
listening perspective	Perspective					
Listserv	Usenet	R_Sicht=comtech			R_Sparte=N	
Literatur	15 view of literature	R_Sicht=art			R_Sparte=L	
Live	Live-Performance		R_GD_View=26 performance view		R_Sparte=P	R_Quelle=SN
live cinema	Cinema	R_Sicht=media			R_Sparte=VA	
live cinema	VJ	R_Sicht=media			R_Sparte=VA	
live code performance	32 liveness view	R_Sicht=art	R_GD_View=26 performance view		R_Sparte=PC	
live code performance	code art	R_Sicht=art	R_GD_View=26 performance view		R_Sparte=PC	
live code performance	live-processing software	R_Sicht=art	R_GD_View=26 performance view		R_Sparte=PC	
live electronic performance practice	sound performance		R_GD_View=26 performance view	R_JJJJ=1992	R_Sparte=PM	
Live-Elektronik	32 liveness view			R_JJJJ=(1980)	R_Sparte=M	
Live-Fotomosaikpuzzle	Fotomosaik			R_JJJJ=2007	R_Sparte=D	
Live-Performance	Performance		R_GD_View=26 performance view		R_Sparte=P	
live-processing software	live code performance	R_Sicht=software				
LiveStreaming	Livevideo	R_Sicht=comtech			R_Sparte=VN	
LiveStreaming	Streaming	R_Sicht=comtech			R_Sparte=VN	
Live-Trash-Art	trash art	R_Sicht=art		R_JJJJ=2004		
Livevideo	life cinema	R_Sicht=art			R_Sparte=V	
Livevideo	LiveStreaming	R_Sicht=art			R_Sparte=V	
Livevideo	VJ	R_Sicht=art			R_Sparte=V	
living architecture	smart houses		R_GD_View=18 object view			
living things	activated object		R_GD_View=18 object view		R_Sparte=	R_Quelle=SW
living things	living architecture		R_GD_View=18 object view		R_Sparte=	R_Quelle=SW
local networks	Net			R_JJJJ=2002	R_Sparte=N	
locatian based augmented reality	location-based services				R_Sparte=DA	
location	locational					
location based	locational					
locational	elektronischer Ort			R_JJJJ=(1996)		
locational	Lage					
locational	location					
locational	location based					
locational	locative media					
locational	positional					
location-based	25 spatial view	R_Sicht=informatics				
location-based	location-based services	R_Sicht=informatics				
location-based	location-based-learning	R_Sicht=informatics				
location-based	lokative Medien	R_Sicht=informatics				
location-based services	geospatial augmented reality	R_Sicht=informatics				
location-based services	GSM GPRS UMTS WLAN	R_Sicht=informatics				
location-based services	locatian based augmented reality	R_Sicht=informatics				
location-based services	location-based	R_Sicht=informatics				
location-based services	location-based-learning	R_Sicht=informatics				
location-based-learning	06 view of instruction		R_GD_View=06 view of instruction			
location-based-learning	location-based					
location-based-learning	location-based services					
locative media	locational	R_Sicht=media				
Lochkamera	Camera	R_Sicht=media			R_Sparte=BD	
Lochkarte	data storage	R_Sicht=media				
Logic	Art & Logic	R_Sicht=theory	R_GD_View=24 view of mathematics			
Logic	audio logic	R_Sicht=theory	R_GD_View=24 view of mathematics		R_Sparte=M	
Logic	Bildlogik	R_Sicht=theory	R_GD_View=24 view of mathematics			
Logic	Boolean logic	R_Sicht=theory	R_GD_View=24 view of mathematics		R_Sparte=	R_Quelle=PF
Logic	fuzzyness	R_Sicht=theory	R_GD_View=24 view of mathematics			
Logic	Logik	R_Sicht=theory	R_GD_View=24 view of mathematics			
Logik	24 view of mathematics	R_Sicht=theory	R_GD_View=24 view of mathematics			
Logik	25 formal view	R_Sicht=theory	R_GD_View=24 view of mathematics			
Logik	Art & Logic	R_Sicht=theory	R_GD_View=24 view of mathematics			
Logik	digital	R_Sicht=theory	R_GD_View=24 view of mathematics			
Logik	Kuenstlichkeit	R_Sicht=theory	R_GD_View=24 view of mathematics			
Logik	Logic	R_Sicht=theory	R_GD_View=24 view of mathematics			
Logik der Schlange	Art & Logic	R_Sicht=art		R_JJJJ=1991	R_Sparte=P	
LOGO	programming languages	R_Sicht=informatics	R_GD_View=24 view of informatics		R_Sparte=	R_Quelle=PF
Logo design	15 typographical view	R_Sicht=art	R_GD_View=15 typographical view		R_Sparte=DA	
Logo design	flying logos	R_Sicht=art	R_GD_View=15 typographical view		R_Sparte=DA	
lokative Medien	location-based	R_Sicht=media				
look into the ground	mobile GIS					
look into the ground	outdoor augmented reality visualisation					
loop	Schleife	R_Sicht=informatics	R_GD_View=24 view of informatics			
loop	Video-Endlosloop	R_Sicht=informatics				
loudspeaker	electronic aids: loudspeakers	R_Sicht=interface	R_GD_View=05 interface view		R_Sparte=M	
loudspeaker	sound equipment	R_Sicht=interface	R_GD_View=05 interface view		R_Sparte=M	
low-cost metadata	folksonomies	R_Sicht=culture			R_Sparte=N	R_Quelle=GS
low-cost metadata	metadata	R_Sicht=culture			R_Sparte=N	R_Quelle=GS
Lowfi-Computing	lowtech	R_Sicht=informatics	R_GD_View=24 view of informatics			
lowtech	Lowfi-Computing	R_Sicht=informatics	R_GD_View=24 view of informatics			
lowtech	Low-Tech-Mechanismen	R_Sicht=informatics	R_GD_View=24 view of informatics	R_JJJJ=2005		
lowtech	machine aesthetics	R_Sicht=informatics	R_GD_View=24 view of informatics			
lowtech	Physical Computing	R_Sicht=informatics	R_GD_View=24 view of informatics	R_JJJJ=2006		
Low-Tech-Mechanismen	lowtech	R_Sicht=informatics	R_GD_View=24 view of informatics	R_JJJJ=2005		
Luftbild	GIS			R_JJJJ=2007	R_Sparte=D	
Luftbild	Orthophoto			R_JJJJ=2007	R_Sparte=D	
Lust am Orientierungsverlust	inebriation (intoxication)					
Lust an der Geschwindigkeit	Geschwindigkeit				R_Sparte=	R_Quelle=SN
Lust an der Geschwindigkeit	inebriation (intoxication)					
Ma - sense of space - the world of the interstice	transcending space			R_JJJJ=1990		
MAC	Apple	R_Sicht=hardware				
MAC	Atari	R_Sicht=hardware				
MAC	IBM	R_Sicht=hardware				
MAC	Macintosh	R_Sicht=hardware		R_JJJJ=(1984)	R_Sparte=	R_Quelle=PF
MAC	NEXT	R_Sicht=hardware				
MAC	Silicon Graphics	R_Sicht=hardware				
MAC	the invention of VisiCalc (for MAC) created the first real market for PCs	R_Sicht=hardware				
machine aesthetics	12 aesthetic view	R_Sicht=art	R_GD_View=12 aesthetic view			
machine aesthetics	lowtech	R_Sicht=art	R_GD_View=12 aesthetic view			
Machine Dreams	Idealism		R_GD_View=03 machine view - robots			
machine sculptures	machine sculptures (Kanonisierte Richtung)	R_Sicht=art	R_GD_View=03 machine view - robots			
machine sculptures	Performative Installation	R_Sicht=art	R_GD_View=03 machine view - robots			
machine sculptures	Robot	R_Sicht=art	R_GD_View=03 machine view - robots			
machine sculptures (Kanonisierte Richtung)	machine sculptures	R_Sicht=art	R_GD_View=03 machine view - robots			
machine sculptures (Kanonisierte Richtung)	Maschinenkunst	R_Sicht=art	R_GD_View=03 machine view - robots			
machine sound	Maschinengeräusche	R_Sicht=art			R_Sparte=M	
machine sound	Soundinstallation	R_Sicht=art			R_Sparte=M	
machine tags	tags	R_Sicht=representation			R_Sparte=	R_Quelle=GS
Macintosh	Apple presents the Macintosh	R_Sicht=hardware		R_JJJJ=(1984)		
Macintosh	iMAC	R_Sicht=hardware		R_JJJJ=(1984)	R_Sparte=	R_Quelle=PF
Macintosh	MAC	R_Sicht=hardware		R_JJJJ=(1984)	R_Sparte=	R_Quelle=PF
Maelstromsuedpol - Journey & dream	Dream	R_Sicht=art		R_JJJJ=1988		
Magic	31 magical view		R_GD_View=31 magical view			
Magic	Charles Proteus Steinmetz und der Zauber der Elektrizität		R_GD_View=31 magical view	R_JJJJ=1992		
Magic	every art form has ist origins in magic		R_GD_View=31 magical view			
Magic	interlocking two realities - Magic Book		R_GD_View=31 magical view			
Magic	Laterna Magica - Electronic Street Art		R_GD_View=31 magical view			
Magic	magical mystery tour - Timothy Leary		R_GD_View=31 magical view			
Magic	magical-symbolic elements musical magic		R_GD_View=31 magical view		R_Sparte=M	
Magic	magician, performer		R_GD_View=02 view of virtuality	R_JJJJ=1990		
Magic	mathematics and ist nimbus of the magical		R_GD_View=31 magical view			
Magic	technological magic		R_GD_View=31 magical view			
Magic	Technologische Magie		R_GD_View=31 magical view	R_JJJJ=1989		
Magic	the space-maker as magician		R_GD_View=31 magical view			
Magic	Video Magic		R_GD_View=31 magical view			
Magic	virtual reality in the dark (Willem de Ridder) magician, performer		R_GD_View=31 magical view			
magical mystery tour - Timothy Leary	Magic	R_Sicht=art		R_JJJJ=1990	R_Sparte=N	
magical-symbolic elements musical magic	Magic			R_JJJJ=1990	R_Sparte=M	
magician, performer	Magic		R_GD_View=02 view of virtuality	R_JJJJ=1990	R_Sparte=P	
magician, performer	virtual reality in the dark	R_Sicht=theory	R_GD_View=02 view of virtuality		R_Sparte=P	
Magnet	electromagnetism	R_Sicht=physics		R_JJJJ=(2003)		
Magnetfluid-Skulptur	Sculpture art	R_Sicht=art		R_JJJJ=(2003)		
Magnetresonanztomographien	MRT			R_JJJJ=(1997)	R_Sparte=DA	
Magnetresonanztomographien	Tomographie			R_JJJJ=(1997)	R_Sparte=DA	
Magnet-TV	TV art	R_Sicht=art		R_JJJJ=(n)		
mail art	correspondence art	R_Sicht=art			R_Sparte=B	
mail art	e-mail art	R_Sicht=art			R_Sparte=B	
mail art	Postkunst	R_Sicht=art			R_Sparte=B	
mailbox	e-mail	R_Sicht=comtech			R_Sparte=N	
mailbox	Mailbox-Systeme	R_Sicht=comtech			R_Sparte=N	
Mailbox-Systeme	mailbox	R_Sicht=comtech			R_Sparte=N	
mailing	BBS	R_Sicht=comtech			R_Sparte=N	
mailing	e-mail	R_Sicht=comtech			R_Sparte=N	
mailing	mailing list	R_Sicht=comtech			R_Sparte=N	
mailing	messaging	R_Sicht=comtech			R_Sparte=N	
mailing	SMS	R_Sicht=comtech			R_Sparte=N	
mailing	voice mail	R_Sicht=comtech			R_Sparte=MN	
mailing list	mailing	R_Sicht=comtech			R_Sparte=N	
mailing list	mailing list art	R_Sicht=comtech			R_Sparte=N	
mailing list art	mailing list	R_Sicht=art			R_Sparte=N	
mailing list art	Net Art	R_Sicht=art			R_Sparte=N	
Mainstream	Pop Culture	R_Sicht=culture			R_Sparte=	R_Quelle=SN
MAK-Designdatenbank	Database art	R_Sicht=software				
MAK-Designdatenbank	Designdatenbank	R_Sicht=software				
MAK-Designdatenbank	Product Design	R_Sicht=software				
making art of databases	Database art	R_Sicht=art			R_Sparte=I	
Malerei	abstrakte Malerei	R_Sicht=art			R_Sparte=B	R_Quelle=SN
Malerei	Malerei mit Zeit	R_Sicht=art			R_Sparte=B	R_Quelle=SN
Malerei	Musik - Malerei	R_Sicht=art			R_Sparte=BM	R_Quelle=SN
Malerei	Painting	R_Sicht=art			R_Sparte=B	
Management	arts management			R_JJJJ=(2001)		
Mandelbrot-set (first time in 1979)	Apfelmaennchen	R_Sicht=informatics		R_JJJJ=1979	R_Sparte=D	
Mandelbrot-set (first time in 1979)	fractals	R_Sicht=informatics		R_JJJJ=1979	R_Sparte=D	
Manga	Anime	R_Sicht=art			R_Sparte=DA	
man-machine graphical communication	GUI	R_Sicht=interface	R_GD_View=05 interface view		R_Sparte=I	
man-machine graphical communication	sketchpad	R_Sicht=interface	R_GD_View=05 interface view	R_JJJJ=(1963)	R_Sparte=I	
many-to-many medium	many-to-many medium - radically decentralized	R_Sicht=comtech		R_JJJJ=1994	R_Sparte=N	
many-to-many medium - radically decentralized	many-to-many medium	R_Sicht=comtech		R_JJJJ=1994	R_Sparte=N	
many-to-many medium - radically decentralized	Medium	R_Sicht=comtech		R_JJJJ=1994	R_Sparte=N	
many-to-many medium - radically decentralized	radikal dezentralisiert	R_Sicht=comtech		R_JJJJ=1994	R_Sparte=N	
map	conversation map	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	
map	Kohonen self-organizing map	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	R_Quelle=PF
map	mapping	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	R_Quelle=PF
mapping	15 cartographical view	R_Sicht=representation	R_GD_View=15 cartographical view		R_Sparte=D	
mapping	archive mapper	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	
mapping	body mapping	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	
mapping	Clustering	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	
mapping	Collaborative Mapping	R_Sicht=representation	R_GD_View=19 presentation view	R_JJJJ=2007	R_Sparte=D	
mapping	conversation map	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	
mapping	Crime-Mapping	R_Sicht=representation	R_GD_View=19 presentation view	R_JJJJ=2007	R_Sparte=D	
mapping	Kohonen self-organizing map	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	
mapping	map	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	R_Quelle=PF
mapping	mapping art	R_Sicht=representation	R_GD_View=19 presentation view	R_JJJJ=1998	R_Sparte=D	
mapping	mapping music	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=MD	
mapping	mapping weather	R_Sicht=representation	R_GD_View=19 presentation view	R_JJJJ=2006	R_Sparte=D	
mapping	mental mapping	R_Sicht=representation	R_GD_View=19 presentation view	R_JJJJ=2007	R_Sparte=D	
mapping	mobile mapping	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	
mapping	overlaying	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	
mapping	Visualitaet	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	
mapping	Voronoi diagrams	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	
mapping	WikiMap	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	
mapping	Wissen	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	
mapping	Wissenslandschaften	R_Sicht=representation	R_GD_View=19 presentation view		R_Sparte=D	
mapping art	15 cartographical view	R_Sicht=art	R_GD_View=15 cartographical view		R_Sparte=D	
mapping art	15 diagrammatic view	R_Sicht=art	R_GD_View=15 diagrammatic view		R_Sparte=D	
mapping art	body mapping	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=(1999,2003)	R_Sparte=D	
mapping art	Computer Graphic	R_Sicht=art	R_GD_View=15 diagrammatic view		R_Sparte=D	
mapping art	dance mapping	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=2005	R_Sparte=PD	
mapping art	database visualization	R_Sicht=art	R_GD_View=15 diagrammatic view		R_Sparte=D	
mapping art	Datenvisualisierung	R_Sicht=art	R_GD_View=15 diagrammatic view		R_Sparte=D	
mapping art	digital information graphics	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=(n)	R_Sparte=D	
mapping art	elektronisches Mapping	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=(n)	R_Sparte=D	
mapping art	envisioning information	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=(n)	R_Sparte=D	
mapping art	grafische Repraesentation	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=(1987,2003)	R_Sparte=D	
mapping art	information visualization	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=(n)	R_Sparte=D	
mapping art	information visualization	R_Sicht=representation		R_JJJJ=1999	R_Sparte=D	
mapping art	Informationsmapping	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=1999	R_Sparte=D	
mapping art	mapping	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=1998	R_Sparte=D	
mapping art	mapping cyberspace	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=2001	R_Sparte=D	
mapping art	mapping in the age of digital media	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=2004	R_Sparte=D	
mapping art	mapping time	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=2003	R_Sparte=D	
mapping art	Mappingdiskurs	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=(2002)	R_Sparte=D	
mapping art	Mindmapping mit Netzen	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=(2000)	R_Sparte=D	
mapping art	moviemap	R_Sicht=art	R_GD_View=15 diagrammatic view		R_Sparte=D	
mapping art	re-mapping	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=(2002)	R_Sparte=D	
mapping art	Tactical mapping system	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=(1994)	R_Sparte=D	
mapping art	VR fuer die Visualisierung grosser medizinischer Datenbanken	R_Sicht=art	R_GD_View=15 diagrammatic view	R_JJJJ=1995	R_Sparte=D	
mapping cyberspace	mapping art	R_Sicht=representation	R_GD_View=15 diagrammatic view	R_JJJJ=2001	R_Sparte=D	
mapping in the age of digital media	ars: MAPPING in the age of digital media	R_Sicht=representation	R_GD_View=15 diagrammatic view	R_JJJJ=2004	R_Sparte=D	
mapping in the age of digital media	mapping art	R_Sicht=representation	R_GD_View=15 diagrammatic view	R_JJJJ=2004	R_Sparte=D	
mapping music	mapping	R_Sicht=representation	R_GD_View=15 diagrammatic view		R_Sparte=M	
Mapping Research	Mappingdiskurs	R_Sicht=representation	R_GD_View=15 diagrammatic view	R_JJJJ=2004	R_Sparte=D	
mapping text	Kartografie von Informationsräumen	R_Sicht=representation	R_GD_View=15 diagrammatic view	R_JJJJ=2004	R_Sparte=LD	
mapping text	Wissenslandschaften	R_Sicht=representation	R_GD_View=15 diagrammatic view		R_Sparte=LD	
mapping text	Wortdiagramm	R_Sicht=representation	R_GD_View=15 diagrammatic view		R_Sparte=LD	
mapping time	mapping art	R_Sicht=representation	R_GD_View=15 diagrammatic view	R_JJJJ=(2003)	R_Sparte=D	
mapping weather	mapping	R_Sicht=representation	R_GD_View=15 diagrammatic view	R_JJJJ=2006	R_Sparte=D	
Mappingdiskurs	Diskurs	R_Sicht=theory	R_GD_View=15 diagrammatic view	R_JJJJ=2002	R_Sparte=D	
Mappingdiskurs	Diskurs	R_Sicht=theory	R_GD_View=15 diagrammatic view	R_JJJJ=2002	R_Sparte=D	
Mappingdiskurs	mapping art	R_Sicht=theory	R_GD_View=15 diagrammatic view	R_JJJJ=2002	R_Sparte=D	
Marionetten	Digital Marionette			R_JJJJ=2006	R_Sparte=P	
Marionetten	Puppentheater	R_Sicht=interface		R_JJJJ=(1997)	R_Sparte=P	
Marionetten	virtuelle Marionette	R_Sicht=interface		R_JJJJ=(1997)	R_Sparte=P	
Marketing	21 view of advertising		R_GD_View=21 view of advertising			
markup languages	DHTML	R_Sicht=informatics			R_Sparte=N	
markup languages	formal language	R_Sicht=informatics			R_Sparte=N	
markup languages	HTML	R_Sicht=informatics			R_Sparte=N	
markup languages	programming languages	R_Sicht=informatics			R_Sparte=N	
markup languages	VRML	R_Sicht=informatics			R_Sparte=N	
maschinelle Kunstformen	Maschinelle Medienkunst	R_Sicht=art		R_JJJJ=(n)		
maschinelle Kunstformen	Maschinisierung	R_Sicht=art		R_JJJJ=(n)		
Maschinelle Medienkunst	maschinelle Kunstformen	R_Sicht=art		R_JJJJ=(n)		
Maschinelle Medienkunst	Maschinisierung	R_Sicht=art		R_JJJJ=(1986)		
maschinelle Phase	Maschinisierung			R_JJJJ=(n)		
Maschinenaesthetik	Aesthetics	R_Sicht=art		R_JJJJ=(1996)		
Maschinenausstellung	Exhibition			R_JJJJ=(n)		
maschinenbasiert	Maschinisierung			R_JJJJ=(1992)		
Maschinen-Bastler	DIY			R_JJJJ=(1996)		
Maschinen-Bastler	Maschinisierung			R_JJJJ=(1996)		
Maschinenbau	Maschinisierung			R_JJJJ=(1979,80,82,87,87,88,92,94,95,98,2001)		
Maschinengeräusche	Industrial Sounds	R_Sicht=culture	R_GD_View=03 machine view - robots	R_JJJJ=1980	R_Sparte=M	R_Quelle=SN
Maschinengeräusche	machine sound	R_Sicht=art	R_GD_View=03 machine view - robots	R_JJJJ=1980	R_Sparte=M	
Maschinengeräusche	Sound		R_GD_View=03 machine view - robots	R_JJJJ=1980	R_Sparte=M	
Maschinengeräusche	Sounds vom Eigenleben der Apparate		R_GD_View=03 machine view - robots	R_JJJJ=1980	R_Sparte=M	R_Quelle=SN
Maschinen-Installationen	installation art	R_Sicht=art	R_GD_View=03 machine view - robots	R_JJJJ=(n)		
Maschinenkampf	extreme performance	R_Sicht=art	R_GD_View=26 performance view		R_Sparte=PI	
Maschinenkampf	Kampfmaschinen	R_Sicht=art	R_GD_View=26 performance view		R_Sparte=PI	
Maschinenkunst	03 machine view - robots	R_Sicht=art	R_GD_View=03 machine view - robots	R_JJJJ=1987,1997	R_Sparte=C	
Maschinenkunst	Apparatus	R_Sicht=art	R_GD_View=03 machine view - robots	R_JJJJ=1987,1997	R_Sparte=C	
Maschinenkunst	Industrial Culture	R_Sicht=art	R_GD_View=03 machine view - robots	R_JJJJ=1987,1997	R_Sparte=C	
Maschinenkunst	machine sculptures (Kanonisierte Richtung)	R_Sicht=art	R_GD_View=03 machine view - robots	R_JJJJ=1987,1997	R_Sparte=C	
Maschinenkunst	Maschinisierung	R_Sicht=art	R_GD_View=03 machine view - robots	R_JJJJ=1987,1997	R_Sparte=C	
Maschinenkunst	optical machine	R_Sicht=art	R_GD_View=03 machine view - robots		R_Sparte=C	
Maschinenkunst	robotic art	R_Sicht=art	R_GD_View=03 machine view - robots	R_JJJJ=1987,1997	R_Sparte=C	
Maschinenkunst	Robotics	R_Sicht=art	R_GD_View=03 machine view - robots	R_JJJJ=1987,1997	R_Sparte=C	
Maschinen-Menschen	Cyborg	R_Sicht=body		R_JJJJ=2001	R_Sparte=P	
Maschinenstuermer	hacker	R_Sicht=culture		R_JJJJ=(1995,99)		
Maschinentanz	26 dance view	R_Sicht=art	R_GD_View=26 dance view		R_Sparte=PC	
Maschinentanz	Computertaenzer	R_Sicht=art	R_GD_View=26 dance view		R_Sparte=PC	
Maschinentanz	Performative Installation	R_Sicht=art	R_GD_View=26 dance view		R_Sparte=PC	
Maschinenwahrnehmung	Vision	R_Sicht=informatics				
Maschinenwahrnehmung	Wahrnehmung	R_Sicht=informatics				
Maschinerie	Maschinisierung	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(1988,2000)		
Maschinerie	Schaumaschinerie	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(1988)		
Maschinisierung	07 body extensions	R_Sicht=hardware	R_GD_View=07 body extensions			
Maschinisierung	Apparatus	R_Sicht=hardware	R_GD_View=03 machine view - robots			
Maschinisierung	Automation	R_Sicht=hardware	R_GD_View=03 machine view - robots			
Maschinisierung	Denkmaschinen	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(1986,90,94)		
Maschinisierung	Junggesellenmaschine	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(1990,99,2000)		
Maschinisierung	Kickass-Engine	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=2001		
Maschinisierung	komplexe Maschinen	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(n)		
Maschinisierung	Konzertmaschinen	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(1979)	R_Sparte=M	
Maschinisierung	Kultur-Maschinisierung	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(1992)		
Maschinisierung	maschinelle Kunstformen	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(n)		
Maschinisierung	Maschinelle Medienkunst	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(1986)		
Maschinisierung	maschinelle Phase	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(n)		
Maschinisierung	maschinenbasiert	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(1992)		
Maschinisierung	Maschinen-Bastler	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(1996)		
Maschinisierung	Maschinenbau	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(1979,80,82,87,87,88,92,94,95,98,2001)		
Maschinisierung	Maschinenkunst	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(1987,97)		
Maschinisierung	Maschinerie	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(1988,2000)		
Maschinisierung	Mechanisierung	R_Sicht=hardware	R_GD_View=03 machine view - robots			
Maschinisierung	Schaumaschinerie	R_Sicht=hardware	R_GD_View=03 machine view - robots	R_JJJJ=(1988)		
mass customized-production	Production			R_JJJJ=1994		
mass media	mass medium	R_Sicht=media				
mass media	news media	R_Sicht=media				
mass media	Radio	R_Sicht=media				
mass media	Television	R_Sicht=media				
mass medium	dead, controllable mass medium	R_Sicht=media		R_JJJJ=(1998)		
mass medium	mass media	R_Sicht=media				
mass medium	Medium	R_Sicht=media				
Material	19 material view		R_GD_View=19 material view			
Material	Computer als Material		R_GD_View=19 material view	R_JJJJ=(n)		
Material	Found Footage	R_Sicht=art	R_GD_View=19 material view			
Material	Material-Display	R_Sicht=art	R_GD_View=19 material view	R_JJJJ=(2000,2003)		
Material	materiale Aesthetik	R_Sicht=art	R_GD_View=19 material view	R_JJJJ=( < 1960)		
Material	Recycling		R_GD_View=19 material view			
Material	Software als Material		R_GD_View=19 material view	R_JJJJ=(n)		
Material	synthetic material		R_GD_View=19 material view			
Material	Werkstoff		R_GD_View=19 material view			
material interface	hybrid interface	R_Sicht=interface	R_GD_View=05 interface view	R_JJJJ=2007		
material interface	Interface	R_Sicht=interface	R_GD_View=05 interface view			
material mirror - wooden mirror	Mirror	R_Sicht=art				
Material-Display	Display	R_Sicht=interface	R_GD_View=05 interface view	R_JJJJ=(2000,2003)		
Material-Display	Material	R_Sicht=interface	R_GD_View=05 interface view	R_JJJJ=(2000,2003)		
Material-Display	Material-Display "Trash Mirror"	R_Sicht=interface	R_GD_View=05 interface view	R_JJJJ=2000/2003		
Material-Display "Trash Mirror"	Display	R_Sicht=interface	R_GD_View=05 interface view	R_JJJJ=2003		
